Cluster, Core, Core_max, Core_median, Acc, Acc_max, Acc_median
407,0.0006800811369020998,0.000680081136902,0.0006800811369020998,0.018468584073408456,0.0184685840734,0.018468584073408456
406,1.3687058969535926e-06,1.36870589695e-06,1.3687058969535926e-06,0.0037475018408736904,0.00374750184087,0.0037475018408736904
405,0.0003069761017939765,0.000306976101794,0.0003069761017939765,0.015936550499237034,0.0159365504992,0.015936550499237034
404,2.5413681670971577e-05,2.5413681671e-05,2.5413681670971577e-05,0.004413086905330266,0.00441308690533,0.004413086905330266
403,1.215763667516967e-08,1.21576366752e-08,1.215763667516967e-08,0.08556626277761503,0.0855662627776,0.08556626277761503
402,7.7447638814232e-05,7.74476388142e-05,7.7447638814232e-05,0.0049521681109921944,0.00495216811099,0.0049521681109921944
401,2.0313926148207706e-05,2.03139261482e-05,2.0313926148207706e-05,2.7200464103316335e-14,2.72004641033e-14,2.7200464103316335e-14
400,0.0004466049047074927,0.000446604904707,0.0004466049047074927,0.07892167026374675,0.0789216702637,0.07892167026374675
409,0.0003131451950534325,0.000313145195053,0.0003131451950534325,0.025203212127201224,0.0252032121272,0.025203212127201224
408,5.6075644787600964e-06,5.60756447876e-06,5.6075644787600964e-06,0.016707889905351436,0.0167078899054,0.016707889905351436
379,0.00020259941103772938,0.000202599411038,0.00020259941103772938,0.09151698844231637,0.0915169884423,0.09151698844231637
378,7.232990793226701e-05,7.23299079323e-05,7.232990793226701e-05,5.198064201294983e-13,5.19806420129e-13,5.198064201294983e-13
371,2.9527843725674074e-07,2.95278437257e-07,2.9527843725674074e-07,0.052213815698552435,0.0522138156986,0.052213815698552435
370,0.00047936676820037327,0.0004793667682,0.00047936676820037327,0.0766195988090389,0.076619598809,0.0766195988090389
373,0.00040455557478813464,0.000404555574788,0.00040455557478813464,0.0017339273070292593,0.00173392730703,0.0017339273070292593
372,0.00012406441877577112,0.000124064418776,0.00012406441877577112,0.0010500314474842787,0.00105003144748,0.0010500314474842787
375,0.0005607175939459363,0.000560717593946,0.0005607175939459363,0.0915632415793316,0.0915632415793,0.0915632415793316
374,0.000784701165931212,0.000784701165931,0.000784701165931212,0.06415977944332041,0.0641597794433,0.06415977944332041
377,0.00019978994299185704,0.000199789942992,0.00019978994299185704,0.00964289877491531,0.00964289877492,0.00964289877491531
376,0.0012212844705459247,0.00122128447055,0.0012212844705459247,0.08202037040573562,0.0820203704057,0.08202037040573562
393,5.347623569851301e-06,5.34762356985e-06,5.347623569851301e-06,0.008953087816592431,0.00895308781659,0.008953087816592431
392,0.0001668530840494009,0.000166853084049,0.0001668530840494009,0.017514812709934602,0.0175148127099,0.017514812709934602
391,0.0007265471649934296,0.000726547164993,0.0007265471649934296,0.10273590493320017,0.102735904933,0.10273590493320017
390,0.00026230989052877796,0.000262309890529,0.00026230989052877796,0.015119902669552543,0.0151199026696,0.015119902669552543
397,6.543092718258592e-05,6.54309271826e-05,6.543092718258592e-05,0.01295200282902731,0.012952002829,0.01295200282902731
